mimic_code,mimic_display,target_system,target_code,target_display,comment,method,join_rung,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
AMOXicillin Oral Susp.,AMOXicillin Oral Susp.,http://snomed.info/sct,778317004,Amoxicillin only product in oral dose form,,code-search,,778317004,Amoxicillin only product in oral dose form,0.85,ok,"Input specifies no strength; specific-strength candidates overstep, parent captures amoxicillin oral form"
APAP,APAP,http://www.nlm.nih.gov/research/umls/rxnorm,161,acetaminophen,,code-search,,161,acetaminophen,0.85,ok,APAP is a synonym for acetaminophen; base concept matches
APAP-PLACEBO STUDY MED,APAP-PLACEBO STUDY MED,http://snomed.info/sct,387517004,Paracetamol,,code-search,,387517004,Paracetamol,0.85,ok,APAP is acetaminophen/paracetamol; substance matches
APAP/Pacebo,APAP/Pacebo,http://www.nlm.nih.gov/research/umls/rxnorm,161,acetaminophen,,code-search,,161,acetaminophen,0.85,ok,APAP is acetaminophen; primary medication concept
APAP/Placebo,APAP/Placebo,http://www.nlm.nih.gov/research/umls/rxnorm,161,acetaminophen,,code-search,,161,acetaminophen,0.85,ok,APAP is synonym for acetaminophen
APAP/placebo,APAP/placebo,http://www.nlm.nih.gov/research/umls/rxnorm,161,acetaminophen,,code-search,,161,acetaminophen,0.85,ok,APAP is synonym for acetaminophen
ARIPiprazole,ARIPiprazole,http://www.nlm.nih.gov/research/umls/rxnorm,89013,aripiprazole,,term-join,Q1-exact,,,,not-needed,
ARIPiprazole Extended Release,ARIPiprazole Extended Release,http://snomed.info/sct,406784005,Aripiprazole,,code-search,,406784005,Aripiprazole,0.85,ok,"Substance VS; extended release is dose form qualifier, substance is Aripiprazole"
ASENapine,ASENapine,http://www.nlm.nih.gov/research/umls/rxnorm,784649,asenapine,,term-join,Q1-exact,,,,not-needed,
ASP2215,ASP2215,http://www.nlm.nih.gov/research/umls/rxnorm,2105806,gilteritinib,,code-search,,2105806,gilteritinib,0.85,ok,ASP2215 is the development code for gilteritinib
ATRIPLA,ATRIPLA,http://www.nlm.nih.gov/research/umls/rxnorm,643067,Atripla,,term-join,Q1-exact,,,,not-needed,
Abacavir Oral Solution,Abacavir Oral Solution,http://www.nlm.nih.gov/research/umls/rxnorm,242680,abacavir 20 MG in 1 mL Oral Solution,,code-search,,242680,abacavir 20 MG in 1 mL Oral Solution,0.95,ok,FSN matches abacavir oral solution exactly
Abacavir Sulfate,Abacavir Sulfate,http://www.nlm.nih.gov/research/umls/rxnorm,221052,abacavir sulfate,,term-join,Q1-exact,,,,not-needed,
Abemaciclib,Abemaciclib,http://www.nlm.nih.gov/research/umls/rxnorm,1946825,abemaciclib,,term-join,Q1-exact,,,,not-needed,
Abilify,Abilify,http://www.nlm.nih.gov/research/umls/rxnorm,352393,Abilify,,term-join,Q1-exact,,,,not-needed,
Abilify Maintena,Abilify Maintena,http://www.nlm.nih.gov/research/umls/rxnorm,89013,aripiprazole,,code-search,,89013,aripiprazole,0.85,ok,Abilify Maintena is aripiprazole extended-release; ingredient match
Abreva,Abreva,http://www.nlm.nih.gov/research/umls/rxnorm,285039,Abreva,,term-join,Q1-exact,,,,not-needed,
Acalabrutinib,Acalabrutinib,http://www.nlm.nih.gov/research/umls/rxnorm,1986808,acalabrutinib,,term-join,Q1-exact,,,,not-needed,
Acamprosate,Acamprosate,http://www.nlm.nih.gov/research/umls/rxnorm,82819,acamprosate,,term-join,Q1-exact,,,,not-needed,
Acarbose,Acarbose,http://www.nlm.nih.gov/research/umls/rxnorm,16681,acarbose,,term-join,Q1-exact,,,,not-needed,
Acebutolol,Acebutolol,http://www.nlm.nih.gov/research/umls/rxnorm,149,acebutolol,,term-join,Q1-exact,,,,not-needed,
AcetaZOLamide,AcetaZOLamide,http://www.nlm.nih.gov/research/umls/rxnorm,167,acetazolamide,,term-join,Q1-exact,,,,not-needed,
AcetaZOLamide S.R.,AcetaZOLamide S.R.,http://www.nlm.nih.gov/research/umls/rxnorm,167,acetazolamide,,code-search,,167,acetazolamide,0.85,ok,S.R. is a release-form qualifier; base concept is acetazolamide
Acetaminophen,Acetaminophen,http://www.nlm.nih.gov/research/umls/rxnorm,161,acetaminophen,,term-join,Q1-exact,,,,not-needed,
Acetaminophen (Liquid),Acetaminophen (Liquid),http://www.nlm.nih.gov/research/umls/rxnorm,161,acetaminophen,,term-join,Q3-paren,,,,not-needed,
Acetaminophen IV,Acetaminophen IV,http://www.nlm.nih.gov/research/umls/rxnorm,1803960,acetaminophen 10 MG/ML Injection,,code-search,,1803960,acetaminophen 10 MG/ML Injection,0.85,ok,IV acetaminophen; injection formulation matches
Acetaminophen w/Codeine,Acetaminophen w/Codeine,http://www.nlm.nih.gov/research/umls/rxnorm,817579,acetaminophen / codeine,,code-search,,817579,acetaminophen / codeine,0.95,ok,FSN matches input exactly
Acetaminophen w/Codeine Elixir,Acetaminophen w/Codeine Elixir,http://www.nlm.nih.gov/research/umls/rxnorm,817579,acetaminophen / codeine,,code-search,,817579,acetaminophen / codeine,0.85,ok,Two-ingredient combination matches; elixir is dosage form qualifier
Acetaminophen-Caff-Butalbital,Acetaminophen-Caff-Butalbital,http://www.nlm.nih.gov/research/umls/rxnorm,214130,acetaminophen / butalbital / caffeine,,code-search,,214130,acetaminophen / butalbital / caffeine,0.95,ok,FSN matches the three-component combination exactly
Acetaminophen/Placebo,Acetaminophen/Placebo,http://www.nlm.nih.gov/research/umls/rxnorm,161,acetaminophen,,code-search,,161,acetaminophen,0.85,ok,Primary ingredient; placebo is separate comparator concept
Acetaminophen/Placebo Study Drug,Acetaminophen/Placebo Study Drug,http://snomed.info/sct,387517004,Paracetamol,,code-search,,387517004,Paracetamol,0.85,ok,Primary substance is acetaminophen; placebo not coded in substance VS
Acetaminophen/placebo,Acetaminophen/placebo,http://www.nlm.nih.gov/research/umls/rxnorm,161,acetaminophen,,code-search,,161,acetaminophen,0.85,ok,Primary ingredient; placebo is separate comparator concept
Acetic Acid 0.25% Irrig. Soln,Acetic Acid 0.25% Irrig. Soln,http://www.nlm.nih.gov/research/umls/rxnorm,307707,acetic acid 0.25 % Irrigation Solution,,code-search,,307707,acetic acid 0.25 % Irrigation Solution,0.98,ok,FSN matches input exactly
Acetic Acid 2% Otic Solution,Acetic Acid 2% Otic Solution,http://www.nlm.nih.gov/research/umls/rxnorm,197305,acetic acid 2 % Otic Solution,,code-search,,197305,acetic acid 2 % Otic Solution,0.98,ok,FSN matches input exactly
Acetic Acid 3% (For Topical Irrigation),Acetic Acid 3% (For Topical Irrigation),http://www.nlm.nih.gov/research/umls/rxnorm,2204415,acetic acid 3 % Irrigation Solution,,code-search,,2204415,acetic acid 3 % Irrigation Solution,0.95,ok,FSN matches input exactly
Acetylcysteine (IV),Acetylcysteine (IV),http://www.nlm.nih.gov/research/umls/rxnorm,197,acetylcysteine,,term-join,Q3-paren,,,,not-needed,
Acetylcysteine 20%,Acetylcysteine 20%,http://www.nlm.nih.gov/research/umls/rxnorm,307719,acetylcysteine 20 % Inhalation Solution,,code-search,,307719,acetylcysteine 20 % Inhalation Solution,0.85,ok,"20% concentration matches; route unstated, first-ranked candidate"
Acetylcysteine Inhaled - For interventional pulmonary use only,Acetylcysteine Inhaled - For interventional pulmonary use only,http://www.nlm.nih.gov/research/umls/rxnorm,197,acetylcysteine,,code-search,,197,acetylcysteine,0.85,ok,Base medication concept; route/indication are non-coded qualifiers
Acetylcysteine Inhaled – For interventional pulmonary use only,Acetylcysteine Inhaled – For interventional pulmonary use only,http://www.nlm.nih.gov/research/umls/rxnorm,197,acetylcysteine,,code-search,,197,acetylcysteine,0.85,ok,Base medication concept; route/use are qualifiers
Acidophilus,Acidophilus,http://www.nlm.nih.gov/research/umls/rxnorm,6205,Lactobacillus acidophilus,,code-search,,6205,Lactobacillus acidophilus,0.97,ok,FSN matches input exactly
Aciphex,Aciphex,http://www.nlm.nih.gov/research/umls/rxnorm,261440,Aciphex,,term-join,Q1-exact,,,,not-needed,
Activated Charcoal-Sorbitol,Activated Charcoal-Sorbitol,http://www.nlm.nih.gov/research/umls/rxnorm,215009,activated charcoal / sorbitol,,code-search,,215009,activated charcoal / sorbitol,0.95,ok,FSN matches combination product exactly
Acyclovir,Acyclovir,http://www.nlm.nih.gov/research/umls/rxnorm,281,acyclovir,,term-join,Q1-exact,,,,not-needed,
Acyclovir Ointment 5%,Acyclovir Ointment 5%,http://www.nlm.nih.gov/research/umls/rxnorm,197312,acyclovir 5 % Topical Ointment,,code-search,,197312,acyclovir 5 % Topical Ointment,0.97,ok,FSN matches input exactly
Adcirca,Adcirca,http://www.nlm.nih.gov/research/umls/rxnorm,849863,Adcirca,,term-join,Q1-exact,,,,not-needed,
Adderall,Adderall,http://www.nlm.nih.gov/research/umls/rxnorm,84815,Adderall,,term-join,Q1-exact,,,,not-needed,
Adderall XR,Adderall XR,http://www.nlm.nih.gov/research/umls/rxnorm,822929,amphetamine aspartate / amphetamine sulfate / dextroamphetamine saccharate / dextroamphetamine sulfate,,code-search,,822929,amphetamine aspartate / amphetamine sulfate / dextroamphetamine saccharate / dextroamphetamine sulfate,0.85,ok,Adderall XR is extended-release mixed amphetamine salts; FSN matches composition
Adempas,Adempas,http://www.nlm.nih.gov/research/umls/rxnorm,1439889,Adempas,,term-join,Q1-exact,,,,not-needed,
Adenosine,Adenosine,http://www.nlm.nih.gov/research/umls/rxnorm,296,adenosine,,term-join,Q1-exact,,,,not-needed,
Adenosine Liver Flush,Adenosine Liver Flush,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
Advair Diskus,Advair Diskus,http://www.nlm.nih.gov/research/umls/rxnorm,284635,fluticasone / salmeterol,,code-search,,284635,fluticasone / salmeterol,0.85,ok,Advair Diskus is brand for fluticasone/salmeterol combination
Advair HFA,Advair HFA,http://www.nlm.nih.gov/research/umls/rxnorm,301543,Advair,,code-search,,301543,Advair,0.85,ok,Brand name matches; HFA formulation not separately coded
Advanced Eye Health,Advanced Eye Health,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
Afrin,Afrin,http://www.nlm.nih.gov/research/umls/rxnorm,215051,Afrin,,term-join,Q1-exact,,,,not-needed,
Alaway,Alaway,http://www.nlm.nih.gov/research/umls/rxnorm,707591,Alaway,,term-join,Q1-exact,,,,not-needed,
Albendazole,Albendazole,http://www.nlm.nih.gov/research/umls/rxnorm,430,albendazole,,term-join,Q1-exact,,,,not-needed,
Albumin 25% (12.5g / 50mL),Albumin 25% (12.5g / 50mL),http://www.nlm.nih.gov/research/umls/rxnorm,1741375,albumin human 25 % in 50 ML Injection,,code-search,,1741375,albumin human 25 % in 50 ML Injection,0.95,ok,FSN matches 25% albumin in 50mL exactly
Albumin 5% (12.5g / 250mL),Albumin 5% (12.5g / 250mL),http://www.nlm.nih.gov/research/umls/rxnorm,1741420,albumin human 5 % in 250 ML Injection,,code-search,,1741420,albumin human 5 % in 250 ML Injection,0.95,ok,FSN matches albumin 5% 250mL exactly
Albumin 5% (25g / 500mL),Albumin 5% (25g / 500mL),http://www.nlm.nih.gov/research/umls/rxnorm,1741423,albumin human 5 % in 500 ML Injection,,code-search,,1741423,albumin human 5 % in 500 ML Injection,0.95,ok,FSN matches albumin 5% 500mL injection exactly
Albuterol,Albuterol,http://www.nlm.nih.gov/research/umls/rxnorm,435,albuterol,,term-join,Q1-exact,,,,not-needed,
Albuterol 0.083% Neb Soln,Albuterol 0.083% Neb Soln,http://www.nlm.nih.gov/research/umls/rxnorm,630208,albuterol sulfate 0.083 % Inhalation Solution,,code-search,,630208,albuterol sulfate 0.083 % Inhalation Solution,0.90,ok,FSN matches albuterol 0.083% nebulizer solution
Albuterol 0.5%,Albuterol 0.5%,http://www.nlm.nih.gov/research/umls/rxnorm,245314,albuterol 0.5 % Inhalation Solution,,code-search,,245314,albuterol 0.5 % Inhalation Solution,0.85,ok,Matches albuterol 0.5% concentration; inhalation route is typical
Albuterol Inhaler,Albuterol Inhaler,http://snomed.info/sct,372897005,Salbutamol,,code-search,,372897005,Salbutamol,0.85,ok,"Albuterol is salbutamol; inhaler is route, not substance"
Albuterol Sulfate (Extended Release),Albuterol Sulfate (Extended Release),http://www.nlm.nih.gov/research/umls/rxnorm,142153,albuterol sulfate,,term-join,Q3-paren,,,,not-needed,
Albuterol-Ipratropium,Albuterol-Ipratropium,http://www.nlm.nih.gov/research/umls/rxnorm,214199,albuterol / ipratropium,,code-search,,214199,albuterol / ipratropium,0.95,ok,FSN matches the combination product exactly
Aldesleukin,Aldesleukin,http://www.nlm.nih.gov/research/umls/rxnorm,70223,aldesleukin,,term-join,Q1-exact,,,,not-needed,
Alecensa,Alecensa,http://www.nlm.nih.gov/research/umls/rxnorm,1727480,Alecensa,,term-join,Q1-exact,,,,not-needed,
Alendronate Sodium,Alendronate Sodium,http://www.nlm.nih.gov/research/umls/rxnorm,203152,alendronate sodium,,term-join,Q1-exact,,,,not-needed,
Align,Align,http://www.nlm.nih.gov/research/umls/rxnorm,827148,Align,,term-join,Q1-exact,,,,not-needed,
Aliskiren,Aliskiren,http://www.nlm.nih.gov/research/umls/rxnorm,325646,aliskiren,,term-join,Q1-exact,,,,not-needed,
Allegra,Allegra,http://www.nlm.nih.gov/research/umls/rxnorm,324026,Allegra,,term-join,Q1-exact,,,,not-needed,
Allegra-D 24 Hour,Allegra-D 24 Hour,http://www.nlm.nih.gov/research/umls/rxnorm,215122,Allegra-D,,code-search,,215122,Allegra-D,0.85,ok,Closest match; 24 Hour is a formulation qualifier of Allegra-D
Allopurinol,Allopurinol,http://www.nlm.nih.gov/research/umls/rxnorm,519,allopurinol,,term-join,Q1-exact,,,,not-needed,
Alphagan P,Alphagan P,http://www.nlm.nih.gov/research/umls/rxnorm,39171,brimonidine tartrate,,code-search,,39171,brimonidine tartrate,0.85,ok,Alphagan P is brand for brimonidine tartrate
Alprostadil,Alprostadil,http://www.nlm.nih.gov/research/umls/rxnorm,598,alprostadil,,term-join,Q1-exact,,,,not-needed,
Alrex,Alrex,http://www.nlm.nih.gov/research/umls/rxnorm,215176,Alrex,,term-join,Q1-exact,,,,not-needed,
Altavera (28),Altavera (28),http://www.nlm.nih.gov/research/umls/rxnorm,1006065,Altavera 28 Day Pack,,code-search,,1006065,Altavera 28 Day Pack,0.85,ok,FSN matches Altavera (28) exactly
Alteplase,Alteplase,http://www.nlm.nih.gov/research/umls/rxnorm,8410,alteplase,,term-join,Q1-exact,,,,not-needed,
Alteplase (External Ventricular Drain),Alteplase (External Ventricular Drain),http://www.nlm.nih.gov/research/umls/rxnorm,8410,alteplase,,term-join,Q3-paren,,,,not-needed,
Alteplase 1mg/1mL ( Clearance ie. Temp TLCL ),Alteplase 1mg/1mL ( Clearance ie. Temp TLCL ),http://www.nlm.nih.gov/research/umls/rxnorm,8410,alteplase,,code-search,,8410,alteplase,0.85,ok,Ingredient match; concentration not coded in IN/PIN/MIN set
"Alteplase 1mg/2mL ( Clearance ie. PICC, midline, tunneled access line, PA )","Alteplase 1mg/2mL ( Clearance ie. PICC, midline, tunneled access line, PA )",http://www.nlm.nih.gov/research/umls/rxnorm,8410,alteplase,,code-search,,8410,alteplase,0.85,ok,Base ingredient alteplase; concentration and clearance indication are qualifiers
"Alteplase 1mg/2mL ( Clearance ie. PICC, tunneled access line )","Alteplase 1mg/2mL ( Clearance ie. PICC, tunneled access line )",http://www.nlm.nih.gov/research/umls/rxnorm,8410,alteplase,,code-search,,8410,alteplase,0.85,ok,Medication is alteplase; concentration and line-clearance indication are qualifiers
"Alteplase 1mg/2mL ( Clearance ie. PICC, tunneled access line, PA )","Alteplase 1mg/2mL ( Clearance ie. PICC, tunneled access line, PA )",http://www.nlm.nih.gov/research/umls/rxnorm,8410,alteplase,,code-search,,8410,alteplase,0.85,ok,RxNorm ingredient for alteplase; concentration/indication not separately coded
Alteplase 1mg/5mL ( Clearance ie. Indwelling port ),Alteplase 1mg/5mL ( Clearance ie. Indwelling port ),http://www.nlm.nih.gov/research/umls/rxnorm,8410,alteplase,,code-search,,8410,alteplase,0.85,ok,Medication is alteplase; concentration/indication are qualifiers
Alteplase 1mg/Flush Volume ( Dialysis/Pheresis Catheters ),Alteplase 1mg/Flush Volume ( Dialysis/Pheresis Catheters ),http://snomed.info/sct,387152000,Alteplase,,code-search,,387152000,Alteplase,0.85,ok,FSN matches substance; qualifiers non-coded
Altoprev,Altoprev,http://www.nlm.nih.gov/research/umls/rxnorm,541841,Altoprev,,term-join,Q1-exact,,,,not-needed,
Alum Potassium,Alum Potassium,http://www.nlm.nih.gov/research/umls/rxnorm,221456,"alum, potassium",,code-search,,221456,"alum, potassium",1.00,ok,
Aluminum Hydroxide Suspension,Aluminum Hydroxide Suspension,http://www.nlm.nih.gov/research/umls/rxnorm,612,aluminum hydroxide,,code-search,,612,aluminum hydroxide,0.85,ok,Base concept matches; concentration-specific candidates overstep
Aluminum-Magnesium Hydrox.-Simethicone,Aluminum-Magnesium Hydrox.-Simethicone,http://www.nlm.nih.gov/research/umls/rxnorm,466588,aluminum hydroxide / magnesium hydroxide / simethicone,,code-search,,466588,aluminum hydroxide / magnesium hydroxide / simethicone,0.95,ok,FSN matches the combination product exactly
Alvesco,Alvesco,http://www.nlm.nih.gov/research/umls/rxnorm,356739,Alvesco,,term-join,Q1-exact,,,,not-needed,
Alvimopan,Alvimopan,http://www.nlm.nih.gov/research/umls/rxnorm,480639,alvimopan,,term-join,Q1-exact,,,,not-needed,
Alyacen 1/35 (28),Alyacen 1/35 (28),http://www.nlm.nih.gov/research/umls/rxnorm,1242786,ALYACEN 1/35 28 Day Pack,,code-search,,1242786,ALYACEN 1/35 28 Day Pack,0.97,ok,FSN matches input exactly
AmLactin,AmLactin,http://www.nlm.nih.gov/research/umls/rxnorm,215246,Amlactin,,term-join,Q1-exact,,,,not-needed,
Amantadine,Amantadine,http://www.nlm.nih.gov/research/umls/rxnorm,620,amantadine,,term-join,Q1-exact,,,,not-needed,
Amantadine Syrup,Amantadine Syrup,http://snomed.info/sct,372763006,Amantadine,,code-search,,372763006,Amantadine,0.85,ok,Syrup is a formulation; base substance Amantadine matches
Amaryl,Amaryl,http://www.nlm.nih.gov/research/umls/rxnorm,153592,Amaryl,,term-join,Q1-exact,,,,not-needed,
Ambisome,Ambisome,http://www.nlm.nih.gov/research/umls/rxnorm,151338,AmBisome,,term-join,Q1-exact,,,,not-needed,
Ambrisentan,Ambrisentan,http://www.nlm.nih.gov/research/umls/rxnorm,358274,ambrisentan,,term-join,Q1-exact,,,,not-needed,
Amethia,Amethia,http://www.nlm.nih.gov/research/umls/rxnorm,214558,ethinyl estradiol / levonorgestrel,,code-search,,214558,ethinyl estradiol / levonorgestrel,0.85,ok,Amethia is a brand of levonorgestrel/ethinyl estradiol contraceptive
Amikacin,Amikacin,http://www.nlm.nih.gov/research/umls/rxnorm,641,amikacin,,term-join,Q1-exact,,,,not-needed,
Amikacin Inhalation,Amikacin Inhalation,http://snomed.info/sct,387266001,Amikacin,,code-search,,387266001,Amikacin,0.85,ok,Substance is Amikacin; inhalation is route qualifier
Amiloride HCl,Amiloride HCl,http://www.nlm.nih.gov/research/umls/rxnorm,142424,amiloride hydrochloride,,term-join,Q2-salt,,,,not-needed,
Aminocaproic Acid,Aminocaproic Acid,http://www.nlm.nih.gov/research/umls/rxnorm,99,6-aminocaproic acid,,term-join,Q1-exact,,,,not-needed,
Aminocaproic Acid 25 % Oral Rinse,Aminocaproic Acid 25 % Oral Rinse,http://www.nlm.nih.gov/research/umls/rxnorm,99,6-aminocaproic acid,,code-search,,99,6-aminocaproic acid,0.85,ok,Ingredient match; product form/strength not coded in ingredient VS
Amiodarone,Amiodarone,http://www.nlm.nih.gov/research/umls/rxnorm,703,amiodarone,,term-join,Q1-exact,,,,not-needed,
Amitiza,Amitiza,http://www.nlm.nih.gov/research/umls/rxnorm,615205,Amitiza,,term-join,Q1-exact,,,,not-needed,
Amitriptyline,Amitriptyline,http://www.nlm.nih.gov/research/umls/rxnorm,704,amitriptyline,,term-join,Q1-exact,,,,not-needed,
Amlodipine,Amlodipine,http://www.nlm.nih.gov/research/umls/rxnorm,17767,amlodipine,,term-join,Q1-exact,,,,not-needed,
Amnioinfusion (LR),Amnioinfusion (LR),,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
Amnioinfusion (NS),Amnioinfusion (NS),,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
Amoxicillin,Amoxicillin,http://www.nlm.nih.gov/research/umls/rxnorm,723,amoxicillin,,term-join,Q1-exact,,,,not-needed,
Amoxicillin-Clavulanate Susp.,Amoxicillin-Clavulanate Susp.,http://www.nlm.nih.gov/research/umls/rxnorm,19711,amoxicillin / clavulanate,,code-search,,19711,amoxicillin / clavulanate,0.85,ok,Generic drug matches; suspension is a form qualifier not a distinct code
Amoxicillin-Clavulanic Acid,Amoxicillin-Clavulanic Acid,http://www.nlm.nih.gov/research/umls/rxnorm,19711,amoxicillin / clavulanate,,code-search,,19711,amoxicillin / clavulanate,0.85,ok,Generic combination product matches input without strength overstepping
Amphetamine Salt Combo,Amphetamine Salt Combo,http://www.nlm.nih.gov/research/umls/rxnorm,822929,amphetamine aspartate / amphetamine sulfate / dextroamphetamine saccharate / dextroamphetamine sulfate,,code-search,,822929,amphetamine aspartate / amphetamine sulfate / dextroamphetamine saccharate / dextroamphetamine sulfate,0.85,ok,Combination product matching 'Amphetamine Salt Combo' without strength
Amphetamine-Dextroamphetamine,Amphetamine-Dextroamphetamine,http://www.nlm.nih.gov/research/umls/rxnorm,253146,amphetamine / dextroamphetamine,,code-search,,253146,amphetamine / dextroamphetamine,0.95,ok,FSN matches the combination drug exactly
Amphetamine-Dextroamphetamine XR,Amphetamine-Dextroamphetamine XR,,,,"code-search proposed 253146 'amphetamine / dextroamphetamine' at 0.80, below the 0.85 threshold.",code-search,,253146,amphetamine / dextroamphetamine,0.80,below-threshold,Base concept matches; XR qualifier not captured
Amphotericin B,Amphotericin B,http://www.nlm.nih.gov/research/umls/rxnorm,732,amphotericin B,,term-join,Q1-exact,,,,not-needed,
Amphotericin B Ophth Soln 0.1%,Amphotericin B Ophth Soln 0.1%,http://snomed.info/sct,77703004,Amphotericin B,,code-search,,77703004,Amphotericin B,0.85,ok,"Substance VS; formulation details not coded, substance matches"
Amphotericin B Oral Suspension,Amphotericin B Oral Suspension,http://www.nlm.nih.gov/research/umls/rxnorm,199264,amphotericin B 100 MG/ML Oral Suspension,,code-search,,199264,amphotericin B 100 MG/ML Oral Suspension,0.85,ok,FSN matches amphotericin B oral suspension; strength is unstated qualifier
Ampicillin,Ampicillin,http://www.nlm.nih.gov/research/umls/rxnorm,733,ampicillin,,term-join,Q1-exact,,,,not-needed,
Ampicillin Desensitization,Ampicillin Desensitization,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,,,,no-match,
Ampicillin-Heparin Lock,Ampicillin-Heparin Lock,http://snomed.info/sct,387170002,Ampicillin,,code-search,,387170002,Ampicillin,0.85,ok,Primary substance in the lock
Ampicillin-Sulbactam,Ampicillin-Sulbactam,http://www.nlm.nih.gov/research/umls/rxnorm,1009148,ampicillin / sulbactam,,code-search,,1009148,ampicillin / sulbactam,0.95,ok,FSN matches input exactly
Ampyra,Ampyra,http://www.nlm.nih.gov/research/umls/rxnorm,897022,Ampyra,,term-join,Q1-exact,,,,not-needed,
Anaspaz,Anaspaz,http://www.nlm.nih.gov/research/umls/rxnorm,769,Anaspaz,,term-join,Q1-exact,,,,not-needed,
Anastrozole,Anastrozole,http://www.nlm.nih.gov/research/umls/rxnorm,84857,anastrozole,,term-join,Q1-exact,,,,not-needed,
Andexxa,Andexxa,http://www.nlm.nih.gov/research/umls/rxnorm,2045130,Andexxa,,term-join,Q1-exact,,,,not-needed,
AndroGel,AndroGel,http://www.nlm.nih.gov/research/umls/rxnorm,261448,Androgel,,term-join,Q1-exact,,,,not-needed,
Angiotensin II,Angiotensin II,http://www.nlm.nih.gov/research/umls/rxnorm,1999003,angiotensin II,,term-join,Q1-exact,,,,not-needed,
